	Pirella_circinans_RSA_622-.aa	Pirella_circinans_RSA_682.aa
Number of genes	11200	11315
Number of genes in orthogroups	10403	10430
Number of unassigned genes	797	885
Percentage of genes in orthogroups	92.9	92.2
Percentage of unassigned genes	7.1	7.8
Number of orthogroups containing species	8819	8819
Percentage of orthogroups containing species	100.0	100.0
Number of species-specific orthogroups	1	1
Number of genes in species-specific orthogroups	8	3
Percentage of genes in species-specific orthogroups	0.1	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	1	1
'1	7676	7675
'2	861	851
'3	187	189
'4	60	65
'5	21	21
'6	6	10
'7	4	5
'8	2	2
'9	1	0
'10	1	1
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	0.0
'1	87.0	87.0
'2	9.8	9.6
'3	2.1	2.1
'4	0.7	0.7
'5	0.2	0.2
'6	0.1	0.1
'7	0.0	0.1
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	7676	7675
'2	1722	1702
'3	561	567
'4	240	260
'5	105	105
'6	36	60
'7	28	35
'8	16	16
'9	9	0
'10	10	10
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	68.5	67.8
'2	15.4	15.0
'3	5.0	5.0
'4	2.1	2.3
'5	0.9	0.9
'6	0.3	0.5
'7	0.2	0.3
'8	0.1	0.1
'9	0.1	0.0
'10	0.1	0.1
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
