	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000000	GBNWN_000121-T1, GBNWN_000476-T1, GBNWN_000691-T1, GBNWN_001600-T1, GBNWN_002757-T1, GBNWN_005346-T1, GBNWN_007148-T1, GBNWN_008034-T1, GBNWN_008239-T1, GBNWN_008486-T1, GBNWN_008939-T1, GBNWN_009067-T1	GBNWO_003420-T1, GBNWO_003840-T1, GBNWO_004002-T1, GBNWO_004055-T1, GBNWO_004294-T1, GBNWO_004974-T1, GBNWO_007107-T1
OG0000001	GBNWN_001008-T1, GBNWN_002113-T1, GBNWN_002452-T1, GBNWN_002453-T1, GBNWN_002454-T1, GBNWN_004780-T1, GBNWN_005184-T1, GBNWN_005807-T1, GBNWN_006316-T1, GBNWN_009421-T1	GBNWO_002399-T1, GBNWO_002982-T1, GBNWO_002984-T1, GBNWO_003912-T1, GBNWO_007021-T1, GBNWO_007395-T1, GBNWO_007396-T1, GBNWO_009029-T1
OG0000002	GBNWN_000137-T1, GBNWN_002824-T1, GBNWN_003373-T1, GBNWN_005468-T1, GBNWN_005703-T1, GBNWN_008453-T1, GBNWN_008475-T1, GBNWN_009048-T1, GBNWN_009059-T1	GBNWO_001145-T1, GBNWO_002726-T1, GBNWO_002956-T1, GBNWO_003680-T1, GBNWO_004319-T1, GBNWO_005072-T1, GBNWO_007474-T1, GBNWO_009092-T1
OG0000003	GBNWN_000260-T1, GBNWN_000430-T1, GBNWN_005818-T1, GBNWN_006210-T1, GBNWN_006955-T1, GBNWN_007871-T1, GBNWN_007973-T1, GBNWN_008192-T1	GBNWO_005475-T1, GBNWO_005566-T1, GBNWO_005711-T1, GBNWO_008647-T1, GBNWO_008775-T1, GBNWO_008804-T1, GBNWO_009078-T1, GBNWO_009638-T1
OG0000004	GBNWN_001079-T1, GBNWN_002285-T1, GBNWN_004107-T1, GBNWN_005453-T1, GBNWN_005454-T1, GBNWN_005455-T1, GBNWN_005998-T1, GBNWN_008737-T1	GBNWO_001313-T1, GBNWO_002057-T1, GBNWO_002058-T1, GBNWO_002059-T1, GBNWO_003928-T1, GBNWO_008281-T1, GBNWO_008452-T1, GBNWO_008454-T1
OG0000005	GBNWN_000110-T1, GBNWN_000267-T1, GBNWN_000268-T1, GBNWN_002977-T1, GBNWN_003452-T1, GBNWN_006359-T1, GBNWN_007902-T1, GBNWN_008509-T1	GBNWO_000205-T1, GBNWO_001198-T1, GBNWO_001305-T1, GBNWO_002120-T1, GBNWO_008409-T1, GBNWO_008739-T1, GBNWO_009577-T1
OG0000006	GBNWN_002077-T1, GBNWN_003004-T1, GBNWN_003005-T1, GBNWN_003710-T1, GBNWN_005696-T1, GBNWN_007806-T1, GBNWN_007884-T1, GBNWN_008599-T1, GBNWN_009010-T1	GBNWO_000829-T1, GBNWO_002396-T1, GBNWO_003666-T1, GBNWO_004971-T1, GBNWO_006355-T1, GBNWO_009353-T1
OG0000007	GBNWN_002618-T1, GBNWN_003003-T1, GBNWN_003338-T1, GBNWN_003339-T1, GBNWN_003986-T1, GBNWN_004699-T1, GBNWN_006294-T1, GBNWN_007258-T1, GBNWN_009341-T1	GBNWO_001771-T1, GBNWO_002566-T1, GBNWO_007730-T1, GBNWO_008526-T1, GBNWO_008809-T1, GBNWO_009222-T1
OG0000008	GBNWN_004108-T1, GBNWN_004218-T1, GBNWN_004337-T1, GBNWN_004459-T1, GBNWN_006059-T1, GBNWN_006088-T1, GBNWN_007399-T1, GBNWN_009011-T1, GBNWN_009073-T1, GBNWN_009252-T1	GBNWO_001487-T1, GBNWO_001740-T1, GBNWO_005099-T1, GBNWO_007233-T1, GBNWO_008478-T1
OG0000009	GBNWN_000308-T1, GBNWN_002044-T1, GBNWN_003649-T1, GBNWN_005211-T1, GBNWN_006615-T1, GBNWN_006616-T1, GBNWN_008643-T1, GBNWN_009527-T1	GBNWO_000844-T1, GBNWO_002388-T1, GBNWO_003199-T1, GBNWO_004378-T1, GBNWO_004593-T1, GBNWO_006444-T1
OG0000010	GBNWN_000234-T1, GBNWN_002526-T1, GBNWN_005820-T1, GBNWN_007635-T1, GBNWN_008630-T1, GBNWN_008758-T1	GBNWO_001583-T1, GBNWO_001763-T1, GBNWO_001948-T1, GBNWO_002146-T1, GBNWO_005859-T1, GBNWO_007656-T1, GBNWO_009639-T1
OG0000011	GBNWN_000733-T1, GBNWN_001982-T1, GBNWN_003102-T1, GBNWN_004190-T1, GBNWN_008642-T1	GBNWO_004929-T1, GBNWO_005164-T1, GBNWO_006496-T1, GBNWO_006689-T1, GBNWO_008549-T1, GBNWO_008865-T1, GBNWO_009129-T1, GBNWO_009242-T1
