	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
OG0000000	GBNXA_000734-T1, GBNXA_000972-T1, GBNXA_002572-T1, GBNXA_004022-T1, GBNXA_006424-T1, GBNXA_007486-T1	GBNXB_001478-T1, GBNXB_001904-T1, GBNXB_007349-T1, GBNXB_008026-T1, GBNXB_011858-T1, GBNXB_014192-T1, GBNXB_018064-T1, GBNXB_019782-T1, GBNXB_019849-T1, GBNXB_020334-T1, GBNXB_020624-T1, GBNXB_020857-T1
OG0000001	GBNXA_001385-T1, GBNXA_001661-T1, GBNXA_002112-T1, GBNXA_002543-T1, GBNXA_004389-T1	GBNXB_004786-T1, GBNXB_007155-T1, GBNXB_009039-T1, GBNXB_013638-T1, GBNXB_013639-T1, GBNXB_013701-T1, GBNXB_014405-T1, GBNXB_015099-T1, GBNXB_015240-T1, GBNXB_015244-T1, GBNXB_019247-T1, GBNXB_019955-T1, GBNXB_022020-T1
OG0000002	GBNXA_004561-T1, GBNXA_004562-T1, GBNXA_004563-T1, GBNXA_005920-T1, GBNXA_005949-T1, GBNXA_008170-T1, GBNXA_009646-T1	GBNXB_009321-T1, GBNXB_010104-T1, GBNXB_012215-T1, GBNXB_012252-T1, GBNXB_015402-T1, GBNXB_015403-T1, GBNXB_015404-T1, GBNXB_015908-T1, GBNXB_021053-T1
OG0000003	GBNXA_001528-T1, GBNXA_002207-T1, GBNXA_003773-T1, GBNXA_004240-T1, GBNXA_004452-T1, GBNXA_007319-T1, GBNXA_007696-T1, GBNXA_007969-T1	GBNXB_000564-T1, GBNXB_004301-T1, GBNXB_007497-T1, GBNXB_008526-T1, GBNXB_013105-T1, GBNXB_013830-T1, GBNXB_015383-T1
OG0000004	GBNXA_003004-T1, GBNXA_006947-T1, GBNXA_007153-T1, GBNXA_008433-T1, GBNXA_008434-T1	GBNXB_000345-T1, GBNXB_002130-T1, GBNXB_004062-T1, GBNXB_004067-T1, GBNXB_007445-T1, GBNXB_007558-T1, GBNXB_007999-T1, GBNXB_013552-T1, GBNXB_016049-T1, GBNXB_021071-T1
OG0000005	GBNXA_000095-T1, GBNXA_001363-T1, GBNXA_002371-T1, GBNXA_006549-T1, GBNXA_006555-T1, GBNXA_006556-T1, GBNXA_007073-T1, GBNXA_008589-T1	GBNXB_002740-T1, GBNXB_007131-T1, GBNXB_007133-T1, GBNXB_007310-T1, GBNXB_009241-T1, GBNXB_017062-T1
OG0000006	GBNXA_000133-T1, GBNXA_006267-T1, GBNXA_006489-T1, GBNXA_009391-T1	GBNXB_000722-T1, GBNXB_000749-T1, GBNXB_003880-T1, GBNXB_013004-T1, GBNXB_016113-T1, GBNXB_016185-T1, GBNXB_016711-T1, GBNXB_017901-T1, GBNXB_021616-T1, GBNXB_022031-T1
OG0000007	GBNXA_000709-T1, GBNXA_001915-T1, GBNXA_002674-T1, GBNXA_004004-T1, GBNXA_007143-T1, GBNXA_007152-T1, GBNXA_007763-T1	GBNXB_000851-T1, GBNXB_009199-T1, GBNXB_010650-T1, GBNXB_012300-T1, GBNXB_018185-T1, GBNXB_019881-T1, GBNXB_021410-T1
OG0000008	GBNXA_004963-T1, GBNXA_004964-T1, GBNXA_006583-T1, GBNXA_009291-T1, GBNXA_009295-T1	GBNXB_002380-T1, GBNXB_004104-T1, GBNXB_008476-T1, GBNXB_010161-T1, GBNXB_010549-T1, GBNXB_010556-T1, GBNXB_013952-T1, GBNXB_014369-T1, GBNXB_015852-T1
OG0000009	GBNXA_003143-T1, GBNXA_003144-T1, GBNXA_003901-T1, GBNXA_007241-T1, GBNXA_007549-T1, GBNXA_008855-T1	GBNXB_000819-T1, GBNXB_003041-T1, GBNXB_003521-T1, GBNXB_008840-T1, GBNXB_012169-T1, GBNXB_019981-T1, GBNXB_020482-T1
