	Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	Fennellomyces_mexicanussp.nov._RSA_1418-.aa
OG0000000	GBNTS_001646-T1, GBNTS_002149-T1, GBNTS_004181-T1, GBNTS_004561-T1, GBNTS_004749-T1, GBNTS_006131-T1, GBNTS_006226-T1, GBNTS_006759-T1, GBNTS_006760-T1, GBNTS_008158-T1, GBNTS_009952-T1, GBNTS_010326-T1, GBNTS_010327-T1, GBNTS_011261-T1	GBNTT_000898-T1, GBNTT_002622-T1, GBNTT_003174-T1, GBNTT_004001-T1, GBNTT_004220-T1, GBNTT_004338-T1, GBNTT_004401-T1, GBNTT_004402-T1, GBNTT_005901-T1, GBNTT_006140-T1, GBNTT_009174-T1
OG0000001	GBNTS_006262-T1, GBNTS_006264-T1, GBNTS_007150-T1, GBNTS_007412-T1, GBNTS_007691-T1, GBNTS_007771-T1, GBNTS_008965-T1, GBNTS_010540-T1, GBNTS_012761-T1	GBNTT_003795-T1, GBNTT_006121-T1, GBNTT_006122-T1, GBNTT_006392-T1, GBNTT_006455-T1, GBNTT_007015-T1, GBNTT_009203-T1, GBNTT_009985-T1, GBNTT_009986-T1, GBNTT_010317-T1, GBNTT_012034-T1
OG0000002	GBNTS_000436-T1, GBNTS_000684-T1, GBNTS_000752-T1, GBNTS_000973-T1, GBNTS_002129-T1, GBNTS_003469-T1, GBNTS_007004-T1, GBNTS_011346-T1, GBNTS_011536-T1, GBNTS_011580-T1	GBNTT_001761-T1, GBNTT_001966-T1, GBNTT_002451-T1, GBNTT_004008-T1, GBNTT_004664-T1, GBNTT_004703-T1, GBNTT_004939-T1, GBNTT_004982-T1, GBNTT_012691-T1
OG0000003	GBNTS_000808-T1, GBNTS_001164-T1, GBNTS_006202-T1, GBNTS_006209-T1, GBNTS_006456-T1, GBNTS_007629-T1, GBNTS_008067-T1, GBNTS_008425-T1	GBNTT_000342-T1, GBNTT_000349-T1, GBNTT_003285-T1, GBNTT_003928-T1, GBNTT_004140-T1, GBNTT_005280-T1, GBNTT_006548-T1, GBNTT_007900-T1, GBNTT_009945-T1
OG0000004	GBNTS_002556-T1, GBNTS_004840-T1, GBNTS_005729-T1, GBNTS_005730-T1, GBNTS_005738-T1, GBNTS_007825-T1, GBNTS_008281-T1, GBNTS_008282-T1, GBNTS_008306-T1, GBNTS_009238-T1	GBNTT_001261-T1, GBNTT_001262-T1, GBNTT_001270-T1, GBNTT_005055-T1, GBNTT_005792-T1, GBNTT_010570-T1, GBNTT_010866-T1
OG0000005	GBNTS_003709-T1, GBNTS_003710-T1, GBNTS_004486-T1, GBNTS_005430-T1, GBNTS_007069-T1, GBNTS_008780-T1, GBNTS_010965-T1, GBNTS_012406-T1, GBNTS_012684-T1	GBNTT_001129-T1, GBNTT_002807-T1, GBNTT_002808-T1, GBNTT_004114-T1, GBNTT_005973-T1, GBNTT_007092-T1, GBNTT_011195-T1, GBNTT_011948-T1
OG0000006	GBNTS_001539-T1, GBNTS_001540-T1, GBNTS_003845-T1, GBNTS_007176-T1, GBNTS_008099-T1, GBNTS_009380-T1, GBNTS_009990-T1, GBNTS_010346-T1	GBNTT_000050-T1, GBNTT_001679-T1, GBNTT_003699-T1, GBNTT_004384-T1, GBNTT_007600-T1, GBNTT_007601-T1, GBNTT_008327-T1, GBNTT_010626-T1
OG0000007	GBNTS_004984-T1, GBNTS_004985-T1, GBNTS_004986-T1, GBNTS_004988-T1, GBNTS_004990-T1, GBNTS_007521-T1, GBNTS_008607-T1, GBNTS_010226-T1	GBNTT_002497-T1, GBNTT_003326-T1, GBNTT_004235-T1, GBNTT_004237-T1, GBNTT_004238-T1, GBNTT_004240-T1, GBNTT_004242-T1, GBNTT_008369-T1
OG0000008	GBNTS_000031-T1, GBNTS_001966-T1, GBNTS_002398-T1, GBNTS_007713-T1, GBNTS_007718-T1, GBNTS_008341-T1, GBNTS_008393-T1	GBNTT_000457-T1, GBNTT_000458-T1, GBNTT_000459-T1, GBNTT_000464-T1, GBNTT_002774-T1, GBNTT_004507-T1, GBNTT_005524-T1, GBNTT_009346-T1
OG0000009	GBNTS_001897-T1, GBNTS_002383-T1, GBNTS_004963-T1, GBNTS_004965-T1, GBNTS_007469-T1, GBNTS_008255-T1, GBNTS_008257-T1, GBNTS_009691-T1	GBNTT_002761-T1, GBNTT_005311-T1, GBNTT_008662-T1, GBNTT_008664-T1, GBNTT_009599-T1, GBNTT_010056-T1, GBNTT_012648-T1
OG0000010	GBNTS_002274-T1, GBNTS_004186-T1, GBNTS_004520-T1, GBNTS_009502-T1, GBNTS_011433-T1, GBNTS_012752-T1, GBNTS_012753-T1	GBNTT_002179-T1, GBNTT_004215-T1, GBNTT_005357-T1, GBNTT_006357-T1, GBNTT_006462-T1, GBNTT_009234-T1, GBNTT_009407-T1, GBNTT_011062-T1
OG0000011	GBNTS_000372-T1, GBNTS_000377-T1, GBNTS_001785-T1, GBNTS_007943-T1, GBNTS_008737-T1, GBNTS_011378-T1, GBNTS_011417-T1	GBNTT_004910-T1, GBNTT_005247-T1, GBNTT_005964-T1, GBNTT_006133-T1, GBNTT_010740-T1, GBNTT_012247-T1, GBNTT_012252-T1
OG0000012	GBNTS_001711-T1, GBNTS_001712-T1, GBNTS_001713-T1, GBNTS_001714-T1, GBNTS_010348-T1, GBNTS_010349-T1, GBNTS_010969-T1	GBNTT_001681-T1, GBNTT_001682-T1, GBNTT_003394-T1, GBNTT_003395-T1, GBNTT_003396-T1, GBNTT_003397-T1, GBNTT_011858-T1
