	Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	Ellisomyces_anomalus_RSA_581-.aa
OG0000000	GBNWX_000023-T1, GBNWX_003122-T1, GBNWX_004581-T1, GBNWX_004587-T1, GBNWX_005563-T1, GBNWX_005875-T1, GBNWX_006470-T1, GBNWX_008031-T1	GBNWY_001342-T1, GBNWY_003058-T1, GBNWY_006494-T1, GBNWY_007132-T1, GBNWY_008969-T1, GBNWY_009364-T1, GBNWY_010717-T1, GBNWY_010718-T1
OG0000001	GBNWX_000105-T1, GBNWX_000298-T1, GBNWX_001835-T1, GBNWX_002058-T1, GBNWX_002214-T1, GBNWX_005352-T1, GBNWX_008709-T1, GBNWX_009801-T1	GBNWY_000640-T1, GBNWY_002601-T1, GBNWY_003006-T1, GBNWY_004712-T1, GBNWY_005351-T1, GBNWY_007495-T1, GBNWY_008378-T1, GBNWY_008862-T1
OG0000002	GBNWX_001753-T1, GBNWX_003077-T1, GBNWX_003102-T1, GBNWX_005610-T1, GBNWX_007399-T1, GBNWX_010084-T1, GBNWX_010092-T1, GBNWX_011071-T1	GBNWY_001482-T1, GBNWY_002088-T1, GBNWY_003591-T1, GBNWY_005445-T1, GBNWY_006261-T1, GBNWY_009870-T1, GBNWY_010598-T1
OG0000003	GBNWX_001069-T1, GBNWX_003811-T1, GBNWX_004191-T1, GBNWX_004886-T1, GBNWX_010038-T1, GBNWX_010838-T1, GBNWX_010883-T1	GBNWY_000249-T1, GBNWY_002222-T1, GBNWY_002411-T1, GBNWY_004064-T1, GBNWY_004878-T1, GBNWY_009717-T1
OG0000004	GBNWX_000158-T1, GBNWX_001717-T1, GBNWX_003588-T1, GBNWX_005537-T1, GBNWX_006364-T1, GBNWX_006672-T1	GBNWY_000274-T1, GBNWY_000477-T1, GBNWY_002970-T1, GBNWY_004978-T1, GBNWY_007979-T1, GBNWY_009658-T1
OG0000005	GBNWX_000418-T1, GBNWX_002272-T1, GBNWX_006388-T1, GBNWX_008502-T1, GBNWX_008873-T1, GBNWX_009672-T1	GBNWY_002456-T1, GBNWY_004152-T1, GBNWY_006441-T1, GBNWY_009164-T1, GBNWY_009392-T1, GBNWY_009554-T1
OG0000006	GBNWX_001698-T1, GBNWX_001829-T1, GBNWX_003946-T1, GBNWX_006277-T1, GBNWX_006588-T1, GBNWX_008136-T1	GBNWY_000256-T1, GBNWY_004184-T1, GBNWY_006289-T1, GBNWY_006648-T1, GBNWY_007260-T1, GBNWY_010405-T1
OG0000007	GBNWX_002513-T1, GBNWX_003943-T1, GBNWX_004194-T1, GBNWX_008742-T1, GBNWX_009957-T1, GBNWX_010922-T1	GBNWY_002414-T1, GBNWY_002765-T1, GBNWY_004181-T1, GBNWY_008505-T1, GBNWY_010443-T1, GBNWY_010733-T1
OG0000008	GBNWX_003034-T1, GBNWX_004164-T1, GBNWX_005226-T1, GBNWX_005259-T1, GBNWX_006653-T1, GBNWX_006677-T1	GBNWY_000937-T1, GBNWY_002965-T1, GBNWY_003573-T1, GBNWY_004542-T1, GBNWY_005212-T1, GBNWY_005234-T1
OG0000009	GBNWX_003841-T1, GBNWX_005460-T1, GBNWX_005972-T1, GBNWX_006616-T1, GBNWX_008391-T1, GBNWX_009741-T1	GBNWY_000070-T1, GBNWY_000190-T1, GBNWY_004103-T1, GBNWY_005404-T1, GBNWY_006002-T1, GBNWY_006628-T1
