	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
OG0000000	GBNWU_002031-T1, GBNWU_002085-T1, GBNWU_003674-T1, GBNWU_003684-T1, GBNWU_003688-T1, GBNWU_003690-T1, GBNWU_003691-T1, GBNWU_003692-T1, GBNWU_003695-T1, GBNWU_005399-T1, GBNWU_006815-T1, GBNWU_007853-T1	GBNWW_002224-T1, GBNWW_002316-T1, GBNWW_002317-T1, GBNWW_002555-T1, GBNWW_003218-T1, GBNWW_003219-T1, GBNWW_003351-T1, GBNWW_004137-T1, GBNWW_006521-T1, GBNWW_008015-T1, GBNWW_008016-T1, GBNWW_008017-T1, GBNWW_008137-T1, GBNWW_008497-T1
OG0000001	GBNWU_002337-T1, GBNWU_002339-T1, GBNWU_002340-T1, GBNWU_002341-T1, GBNWU_002342-T1, GBNWU_002344-T1, GBNWU_002345-T1, GBNWU_002346-T1, GBNWU_002347-T1, GBNWU_002578-T1, GBNWU_007663-T1, GBNWU_007664-T1, GBNWU_008472-T1	GBNWW_001035-T1, GBNWW_002791-T1, GBNWW_003558-T1, GBNWW_008883-T1, GBNWW_008884-T1, GBNWW_008905-T1, GBNWW_009443-T1, GBNWW_009629-T1, GBNWW_009630-T1, GBNWW_009631-T1
OG0000002	GBNWU_000883-T1, GBNWU_003086-T1, GBNWU_003837-T1, GBNWU_004461-T1, GBNWU_005931-T1, GBNWU_006098-T1, GBNWU_007761-T1, GBNWU_007807-T1, GBNWU_007921-T1, GBNWU_008060-T1, GBNWU_008703-T1, GBNWU_009638-T1	GBNWW_002303-T1, GBNWW_003163-T1, GBNWW_003630-T1, GBNWW_003689-T1, GBNWW_005267-T1, GBNWW_005716-T1, GBNWW_007803-T1, GBNWW_008286-T1, GBNWW_008547-T1
OG0000003	GBNWU_000560-T1, GBNWU_000956-T1, GBNWU_002180-T1, GBNWU_003317-T1, GBNWU_004206-T1, GBNWU_004935-T1, GBNWU_007036-T1, GBNWU_009167-T1	GBNWW_001816-T1, GBNWW_002068-T1, GBNWW_003808-T1, GBNWW_004924-T1, GBNWW_005466-T1, GBNWW_006077-T1, GBNWW_006758-T1, GBNWW_006806-T1, GBNWW_006978-T1, GBNWW_007133-T1, GBNWW_008856-T1
OG0000004	GBNWU_000092-T1, GBNWU_000188-T1, GBNWU_002372-T1, GBNWU_002373-T1, GBNWU_003466-T1, GBNWU_003476-T1, GBNWU_003780-T1, GBNWU_004920-T1, GBNWU_004998-T1, GBNWU_005435-T1, GBNWU_005471-T1, GBNWU_006677-T1, GBNWU_006718-T1, GBNWU_007561-T1	GBNWW_000167-T1
OG0000005	GBNWU_000397-T1, GBNWU_001051-T1, GBNWU_001054-T1, GBNWU_001055-T1, GBNWU_001915-T1, GBNWU_002208-T1, GBNWU_002357-T1, GBNWU_002629-T1, GBNWU_002656-T1, GBNWU_002829-T1, GBNWU_004590-T1, GBNWU_004594-T1, GBNWU_007307-T1, GBNWU_008129-T1	GBNWW_000053-T1
OG0000006	GBNWU_000807-T1, GBNWU_001416-T1, GBNWU_001742-T1, GBNWU_003629-T1, GBNWU_003971-T1, GBNWU_004334-T1, GBNWU_005200-T1, GBNWU_007026-T1	GBNWW_000062-T1, GBNWW_001813-T1, GBNWW_003360-T1, GBNWW_004336-T1, GBNWW_004590-T1, GBNWW_005190-T1, GBNWW_008674-T1
OG0000007	GBNWU_005575-T1	GBNWW_000891-T1, GBNWW_002021-T1, GBNWW_002601-T1, GBNWW_002602-T1, GBNWW_003657-T1, GBNWW_004487-T1, GBNWW_005457-T1, GBNWW_006237-T1, GBNWW_007850-T1, GBNWW_008172-T1, GBNWW_008182-T1, GBNWW_008277-T1, GBNWW_008508-T1, GBNWW_008677-T1
OG0000008	GBNWU_001673-T1, GBNWU_001674-T1, GBNWU_001675-T1, GBNWU_001676-T1, GBNWU_002240-T1, GBNWU_004114-T1, GBNWU_008584-T1	GBNWW_001968-T1, GBNWW_001969-T1, GBNWW_001970-T1, GBNWW_001971-T1, GBNWW_001997-T1, GBNWW_004257-T1, GBNWW_005028-T1
OG0000009	GBNWU_000001-T1, GBNWU_001508-T1, GBNWU_003100-T1, GBNWU_004221-T1, GBNWU_005508-T1, GBNWU_007606-T1	GBNWW_000449-T1, GBNWW_000816-T1, GBNWW_002842-T1, GBNWW_003450-T1, GBNWW_004450-T1, GBNWW_006614-T1, GBNWW_008620-T1
OG0000010	GBNWU_000216-T1, GBNWU_001570-T1, GBNWU_003202-T1, GBNWU_003886-T1, GBNWU_005064-T1, GBNWU_009326-T1	GBNWW_001430-T1, GBNWW_004131-T1, GBNWW_004195-T1, GBNWW_005010-T1, GBNWW_008299-T1, GBNWW_008428-T1, GBNWW_008742-T1
OG0000011	GBNWU_002139-T1, GBNWU_002140-T1, GBNWU_002141-T1, GBNWU_003144-T1, GBNWU_008694-T1, GBNWU_008695-T1	GBNWW_003026-T1, GBNWW_003027-T1, GBNWW_005326-T1, GBNWW_005327-T1, GBNWW_008623-T1, GBNWW_008624-T1, GBNWW_008636-T1
OG0000012	GBNWU_002227-T1, GBNWU_004051-T1, GBNWU_004507-T1, GBNWU_005974-T1, GBNWU_008467-T1, GBNWU_009195-T1, GBNWU_009196-T1	GBNWW_000178-T1, GBNWW_000239-T1, GBNWW_003425-T1, GBNWW_004862-T1, GBNWW_005489-T1, GBNWW_007995-T1
OG0000013	GBNWU_006529-T1, GBNWU_006541-T1, GBNWU_006542-T1, GBNWU_006545-T1, GBNWU_007333-T1, GBNWU_007538-T1, GBNWU_008378-T1	GBNWW_000266-T1, GBNWW_001649-T1, GBNWW_001651-T1, GBNWW_001652-T1, GBNWW_001665-T1, GBNWW_008671-T1
OG0000014		GBNWW_000870-T1, GBNWW_000871-T1, GBNWW_003922-T1, GBNWW_005235-T1, GBNWW_005236-T1, GBNWW_006010-T1, GBNWW_007013-T1, GBNWW_007357-T1, GBNWW_008927-T1, GBNWW_008928-T1, GBNWW_008930-T1, GBNWW_008936-T1, GBNWW_009325-T1
OG0000015	GBNWU_000486-T1, GBNWU_001187-T1, GBNWU_002586-T1, GBNWU_003718-T1, GBNWU_008287-T1	GBNWW_000674-T1, GBNWW_002781-T1, GBNWW_002826-T1, GBNWW_002827-T1, GBNWW_002828-T1, GBNWW_006153-T1, GBNWW_008102-T1
OG0000016	GBNWU_000665-T1, GBNWU_000708-T1, GBNWU_003112-T1, GBNWU_008318-T1, GBNWU_008700-T1, GBNWU_008976-T1	GBNWW_000135-T1, GBNWW_002423-T1, GBNWW_003032-T1, GBNWW_004526-T1, GBNWW_007090-T1, GBNWW_009598-T1
OG0000017	GBNWU_000409-T1, GBNWU_000411-T1, GBNWU_002263-T1, GBNWU_004178-T1, GBNWU_005496-T1, GBNWU_009488-T1	GBNWW_001173-T1, GBNWW_001335-T1, GBNWW_003803-T1, GBNWW_004044-T1, GBNWW_008368-T1
OG0000018	GBNWU_000443-T1, GBNWU_001985-T1, GBNWU_005688-T1, GBNWU_007151-T1, GBNWU_007359-T1	GBNWW_001137-T1, GBNWW_001433-T1, GBNWW_003103-T1, GBNWW_003489-T1, GBNWW_003715-T1, GBNWW_006958-T1
OG0000019	GBNWU_000727-T1, GBNWU_002517-T1, GBNWU_003463-T1, GBNWU_004429-T1, GBNWU_006673-T1	GBNWW_000362-T1, GBNWW_000620-T1, GBNWW_001751-T1, GBNWW_004087-T1, GBNWW_007891-T1, GBNWW_009677-T1
OG0000020	GBNWU_000993-T1, GBNWU_002600-T1, GBNWU_003458-T1, GBNWU_005115-T1, GBNWU_005728-T1, GBNWU_008258-T1	GBNWW_000625-T1, GBNWW_000923-T1, GBNWW_001539-T1, GBNWW_005663-T1, GBNWW_008843-T1
OG0000021	GBNWU_001313-T1, GBNWU_004641-T1, GBNWU_004677-T1, GBNWU_004779-T1, GBNWU_004780-T1, GBNWU_004784-T1, GBNWU_007391-T1, GBNWU_008671-T1, GBNWU_009517-T1, GBNWU_009570-T1	GBNWW_009446-T1
OG0000022	GBNWU_001563-T1, GBNWU_003186-T1, GBNWU_004147-T1, GBNWU_004172-T1, GBNWU_007230-T1	GBNWW_001444-T1, GBNWW_001707-T1, GBNWW_007020-T1, GBNWW_007347-T1, GBNWW_008090-T1, GBNWW_008421-T1
OG0000023	GBNWU_001666-T1, GBNWU_001998-T1, GBNWU_002778-T1, GBNWU_003607-T1, GBNWU_007955-T1, GBNWU_008413-T1	GBNWW_000341-T1, GBNWW_002270-T1, GBNWW_005346-T1, GBNWW_007713-T1, GBNWW_009049-T1
OG0000024	GBNWU_000668-T1, GBNWU_002231-T1, GBNWU_002728-T1, GBNWU_003130-T1, GBNWU_005466-T1	GBNWW_004501-T1, GBNWW_004858-T1, GBNWW_005406-T1, GBNWW_006791-T1, GBNWW_009595-T1
OG0000025	GBNWU_000799-T1	GBNWW_000951-T1, GBNWW_003604-T1, GBNWW_003856-T1, GBNWW_003857-T1, GBNWW_003858-T1, GBNWW_003860-T1, GBNWW_003874-T1, GBNWW_008894-T1, GBNWW_009122-T1
OG0000026	GBNWU_000870-T1, GBNWU_008046-T1, GBNWU_008308-T1	GBNWW_002433-T1, GBNWW_002675-T1, GBNWW_002944-T1, GBNWW_004983-T1, GBNWW_005004-T1, GBNWW_007642-T1, GBNWW_008804-T1
OG0000027	GBNWU_002386-T1, GBNWU_002387-T1, GBNWU_002390-T1, GBNWU_002391-T1, GBNWU_002392-T1	GBNWW_006771-T1, GBNWW_006772-T1, GBNWW_006773-T1, GBNWW_006776-T1, GBNWW_006777-T1
